ref_file,transcript,jsd_val,shared_words,pct_shared_words,unique_to_transcript,pct_shared_of_transcript,total_tokens_transcript,unique_to_merged,pct_shared_of_merged,total_tokens_merged
Merged-1,HasanAbi 12-03-2025 transcript_wf,0.2839,3367,8.272,213,94.05,31677,37122,8.316,2421918
Merged-1,HasanAbi 12-04-2025 transcript_wf,0.2768,3583,8.803,236,93.82,32062,36883,8.854,2421533
Merged-1,HasanAbi 12-02-2025 transcript_wf,0.2746,3972,9.759,277,93.481,34317,36453,9.826,2419278
Merged-1,HasanAbi 01-25-2026 transcript_wf,0.2702,3493,8.582,156,95.725,32737,37053,8.615,2420858
Merged-1,HasanAbi 12-06-2025 transcript_wf,0.2697,4312,10.594,321,93.071,40111,36069,10.678,2413484
Merged-1,HasanAbi 12-11-2025 transcript_wf,0.2686,4812,11.823,463,91.223,44000,35427,11.959,2409595
Merged-1,HasanAbi 12-01-2025 transcript_wf,0.2667,4479,11.004,340,92.945,43542,35883,11.097,2410053
Merged-1,HasanAbi 12-28-2025 transcript_wf,0.2656,5198,12.771,452,92.0,62974,35052,12.914,2390621
Merged-1,HasanAbi 12-18-2025 transcript_wf,0.2644,4465,10.97,308,93.547,38133,35929,11.054,2415462
Merged-1,HasanAbi 11-24-2025 transcript_wf,0.2643,4735,11.633,394,92.318,47600,35573,11.747,2405995
Merged-1,HasanAbi 01-18-2026 transcript_wf,0.2633,4619,11.348,388,92.251,49086,35695,11.458,2404509
Merged-1,HasanAbi 01-01-2026 transcript_wf,0.2619,4261,10.469,315,93.116,41818,36126,10.55,2411777
Merged-1,HasanAbi 12-13-2025 transcript_wf,0.2601,5329,13.093,587,90.078,55814,34786,13.284,2397781
Merged-1,HasanAbi 12-12-2025 transcript_wf,0.2601,4515,11.093,322,93.343,42167,35865,11.181,2411428
Merged-1,HasanAbi 11-25-2025 transcript_wf,0.2588,4952,12.166,473,91.281,49213,35277,12.31,2404382
Merged-1,HasanAbi 12-19-2025 transcript_wf,0.2572,5500,13.513,522,91.332,64510,34680,13.688,2389085
Merged-1,HasanAbi 12-25-2025 transcript_wf,0.2569,5546,13.626,756,88.004,64790,34400,13.884,2388805
Merged-1,HasanAbi 12-10-2025 transcript_wf,0.2551,5198,12.771,413,92.639,53347,35091,12.902,2400248
Merged-1,HasanAbi 12-14-2025 transcript_wf,0.2536,5079,12.479,371,93.193,54033,35252,12.593,2399562
Merged-1,HasanAbi 11-29-2025 transcript_wf,0.2516,4998,12.279,411,92.402,51528,35293,12.405,2402067
Merged-1,HasanAbi 01-21-2026 transcript_wf,0.2498,4812,11.823,362,93.003,50190,35528,11.929,2403405
Merged-1,HasanAbi 01-07-2026 transcript_wf,0.2496,5071,12.459,335,93.803,61965,35296,12.562,2391630
Merged-1,HasanAbi 01-08-2026 transcript_wf,0.2493,5172,12.707,340,93.832,62168,35190,12.814,2391427
Merged-1,HasanAbi 01-06-2026 transcript_wf,0.2492,5009,12.307,360,93.295,56064,35333,12.416,2397531
Merged-1,HasanAbi 12-09-2025 transcript_wf,0.2476,4940,12.137,289,94.473,53610,35473,12.224,2399985
Merged-1,HasanAbi 12-16-2025 transcript_wf,0.2472,5392,13.248,398,93.126,57645,34912,13.378,2395950
Merged-1,HasanAbi 01-27-2026 transcript_wf,0.2465,4740,11.646,326,93.565,48689,35636,11.74,2404906
Merged-1,HasanAbi 01-05-2026 transcript_wf,0.2464,5329,13.093,413,92.807,64919,34960,13.227,2388676
Merged-1,HasanAbi 01-17-2026 transcript_wf,0.2459,5343,13.127,481,91.741,53842,34878,13.284,2399753
Merged-1,HasanAbi 12-08-2025 transcript_wf,0.2456,4809,11.815,341,93.379,61032,35552,11.915,2392563
Merged-1,HasanAbi 11-28-2025 transcript_wf,0.2438,5293,13.004,385,93.219,54898,35024,13.128,2398697
Merged-1,HasanAbi 12-27-2025 transcript_wf,0.242,5817,14.292,623,90.326,73506,34262,14.514,2380089
Merged-1,HasanAbi 01-19-2026 transcript_wf,0.2416,5744,14.112,442,92.855,62969,34516,14.267,2390626
Merged-1,HasanAbi 01-09-2026 transcript_wf,0.2415,4803,11.8,316,93.827,60572,35583,11.893,2393023
Merged-1,HasanAbi 01-22-2026 transcript_wf,0.2412,5286,12.987,434,92.413,57438,34982,13.127,2396157
Merged-1,HasanAbi 12-22-2025 transcript_wf,0.2411,5577,13.702,436,92.749,63679,34689,13.85,2389916
Merged-1,HasanAbi 01-26-2026 transcript_wf,0.2405,5257,12.916,434,92.374,58275,35011,13.055,2395320
Merged-1,HasanAbi 12-26-2025 transcript_wf,0.2398,6311,15.505,809,88.638,77255,33582,15.82,2376340
Merged-1,HasanAbi 01-16-2026 transcript_wf,0.2389,5681,13.958,490,92.06,64362,34531,14.128,2389233
Merged-1,HasanAbi 12-31-2025 transcript_wf,0.2386,5670,13.931,472,92.315,65486,34560,14.094,2388109
Merged-1,HasanAbi 01-12-2026 transcript_wf,0.238,5548,13.631,384,93.527,66672,34770,13.761,2386923
Merged-1,HasanAbi 12-29-2025 transcript_wf,0.2378,5101,12.533,440,92.059,55832,35161,12.67,2397763
Merged-1,HasanAbi 01-15-2026 transcript_wf,0.2368,5466,13.429,416,92.928,55183,34820,13.568,2398412
Merged-1,HasanAbi 01-02-2026 transcript_wf,0.2362,5572,13.69,472,92.191,67594,34658,13.85,2386001
Merged-1,HasanAbi 01-20-2026 transcript_wf,0.2311,5847,14.365,471,92.545,66291,34384,14.534,2387304
