ref_file,transcript,jsd_val,shared_words,pct_shared_words,unique_to_transcript,pct_shared_of_transcript,total_tokens_transcript,unique_to_opensub,pct_shared_of_opensub,total_tokens_opensub
opensubtitles2018_wf,HasanAbi 12-26-2025 transcript_wf,0.6531,4600,14.513,1697,73.051,36604,25398,15.334,2514965425
opensubtitles2018_wf,HasanAbi 01-06-2026 transcript_wf,0.6529,3616,11.592,1196,75.145,27348,26382,12.054,2514965425
opensubtitles2018_wf,HasanAbi 12-09-2025 transcript_wf,0.651,3588,11.542,1088,76.732,26653,26410,11.961,2514965425
opensubtitles2018_wf,HasanAbi 01-20-2026 transcript_wf,0.6507,4270,13.603,1393,75.402,32269,25728,14.234,2514965425
opensubtitles2018_wf,HasanAbi 12-28-2025 transcript_wf,0.6484,3865,12.411,1143,77.177,28714,26133,12.884,2514965425
opensubtitles2018_wf,HasanAbi 12-08-2025 transcript_wf,0.6474,3527,11.352,1071,76.707,29690,26471,11.757,2514965425
opensubtitles2018_wf,HasanAbi 01-12-2026 transcript_wf,0.6473,4068,13.025,1234,76.726,31865,25930,13.561,2514965425
opensubtitles2018_wf,HasanAbi 01-05-2026 transcript_wf,0.647,3908,12.507,1248,75.795,31756,26090,13.028,2514965425
opensubtitles2018_wf,HasanAbi 12-16-2025 transcript_wf,0.6445,3995,12.793,1231,76.445,28604,26003,13.318,2514965425
opensubtitles2018_wf,HasanAbi 01-27-2026 transcript_wf,0.6445,3494,11.255,1047,76.943,24290,26504,11.647,2514965425
opensubtitles2018_wf,HasanAbi 01-26-2026 transcript_wf,0.6439,3787,12.126,1232,75.453,28335,26211,12.624,2514965425
opensubtitles2018_wf,HasanAbi 01-17-2026 transcript_wf,0.6436,3945,12.622,1256,75.851,27225,26053,13.151,2514965425
opensubtitles2018_wf,HasanAbi 01-18-2026 transcript_wf,0.6431,3441,11.105,987,77.71,25647,26557,11.471,2514965425
opensubtitles2018_wf,HasanAbi 12-31-2025 transcript_wf,0.6431,4101,13.106,1292,76.043,31725,25897,13.671,2514965425
opensubtitles2018_wf,HasanAbi 12-29-2025 transcript_wf,0.6428,3747,11.99,1254,74.925,28292,26251,12.491,2514965425
opensubtitles2018_wf,HasanAbi 01-15-2026 transcript_wf,0.6424,3966,12.696,1240,76.181,26742,26032,13.221,2514965425
opensubtitles2018_wf,HasanAbi 12-25-2025 transcript_wf,0.6423,4138,13.169,1425,74.384,31807,25860,13.794,2514965425
opensubtitles2018_wf,HasanAbi 11-29-2025 transcript_wf,0.6418,3734,12.029,1043,78.166,26319,26264,12.447,2514965425
opensubtitles2018_wf,HasanAbi 12-27-2025 transcript_wf,0.6412,4296,13.694,1374,75.767,34082,25702,14.321,2514965425
opensubtitles2018_wf,HasanAbi 12-01-2025 transcript_wf,0.6411,3379,10.904,992,77.305,23092,26619,11.264,2514965425
opensubtitles2018_wf,HasanAbi 01-02-2026 transcript_wf,0.6407,3992,12.731,1359,74.603,33060,26006,13.308,2514965425
opensubtitles2018_wf,HasanAbi 12-06-2025 transcript_wf,0.6403,3298,10.694,843,79.643,20611,26700,10.994,2514965425
opensubtitles2018_wf,HasanAbi 01-01-2026 transcript_wf,0.6399,3138,10.135,964,76.499,21917,26860,10.461,2514965425
opensubtitles2018_wf,HasanAbi 12-18-2025 transcript_wf,0.6397,3391,10.966,926,78.55,20041,26607,11.304,2514965425
opensubtitles2018_wf,HasanAbi 12-10-2025 transcript_wf,0.6389,3878,12.452,1146,77.189,26914,26120,12.928,2514965425
opensubtitles2018_wf,HasanAbi 01-22-2026 transcript_wf,0.6385,3864,12.382,1208,76.183,28459,26134,12.881,2514965425
opensubtitles2018_wf,HasanAbi 01-19-2026 transcript_wf,0.6385,4191,13.372,1343,75.732,31990,25807,13.971,2514965425
opensubtitles2018_wf,HasanAbi 12-11-2025 transcript_wf,0.6385,3558,11.446,1087,76.598,21984,26440,11.861,2514965425
opensubtitles2018_wf,HasanAbi 12-13-2025 transcript_wf,0.638,4013,12.856,1216,76.745,27929,25985,13.378,2514965425
opensubtitles2018_wf,HasanAbi 01-21-2026 transcript_wf,0.6379,3606,11.611,1059,77.299,26120,26392,12.021,2514965425
