ref_file,transcript,jsd_val,shared_words,pct_shared_words,unique_to_transcript,pct_shared_of_transcript,total_tokens_transcript,unique_to_subtlex,pct_shared_of_subtlex,total_tokens_subtlex
subtlex_us_wf,HasanAbi 12-04-2025 transcript_wf,0.5046,2858,3.798,961,74.836,32062,71428,3.847,49719560
subtlex_us_wf,HasanAbi 01-01-2026 transcript_wf,0.501,3436,4.555,1140,75.087,41818,70850,4.625,49719560
subtlex_us_wf,HasanAbi 12-28-2025 transcript_wf,0.501,4197,5.541,1453,74.283,62974,70089,5.65,49719560
subtlex_us_wf,HasanAbi 01-26-2026 transcript_wf,0.5002,4097,5.399,1594,71.991,58275,70189,5.515,49719560
subtlex_us_wf,HasanAbi 12-08-2025 transcript_wf,0.5001,3846,5.088,1304,74.68,61032,70440,5.177,49719560
subtlex_us_wf,HasanAbi 01-06-2026 transcript_wf,0.4995,3981,5.261,1388,74.148,56064,70305,5.359,49719560
subtlex_us_wf,HasanAbi 12-02-2025 transcript_wf,0.4993,3120,4.137,1129,73.429,34317,71166,4.2,49719560
subtlex_us_wf,HasanAbi 01-18-2026 transcript_wf,0.4991,3657,4.835,1350,73.038,49086,70629,4.923,49719560
subtlex_us_wf,HasanAbi 01-27-2026 transcript_wf,0.499,3777,4.998,1289,74.556,48689,70509,5.084,49719560
subtlex_us_wf,HasanAbi 12-12-2025 transcript_wf,0.4983,3598,4.764,1239,74.385,42167,70688,4.843,49719560
subtlex_us_wf,HasanAbi 12-11-2025 transcript_wf,0.4981,3767,4.97,1508,71.412,44000,70519,5.071,49719560
subtlex_us_wf,HasanAbi 12-03-2025 transcript_wf,0.4977,2664,3.542,916,74.413,31677,71622,3.586,49719560
subtlex_us_wf,HasanAbi 12-18-2025 transcript_wf,0.4975,3648,4.837,1125,76.43,38133,70638,4.911,49719560
subtlex_us_wf,HasanAbi 01-05-2026 transcript_wf,0.4972,4322,5.709,1420,75.27,64919,69964,5.818,49719560
subtlex_us_wf,HasanAbi 12-01-2025 transcript_wf,0.4968,3693,4.897,1126,76.634,43542,70593,4.971,49719560
subtlex_us_wf,HasanAbi 12-09-2025 transcript_wf,0.4965,3848,5.085,1381,73.59,53610,70438,5.18,49719560
subtlex_us_wf,HasanAbi 01-25-2026 transcript_wf,0.4964,2820,3.754,829,77.281,32737,71466,3.796,49719560
subtlex_us_wf,HasanAbi 12-19-2025 transcript_wf,0.4964,4437,5.848,1585,73.68,64510,69849,5.973,49719560
subtlex_us_wf,HasanAbi 12-06-2025 transcript_wf,0.496,3488,4.624,1145,75.286,40111,70798,4.695,49719560
subtlex_us_wf,HasanAbi 01-02-2026 transcript_wf,0.496,4346,5.72,1698,71.906,67594,69940,5.85,49719560
subtlex_us_wf,HasanAbi 12-16-2025 transcript_wf,0.4956,4368,5.77,1422,75.44,57645,69918,5.88,49719560
